epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,1015.71,0.90863,4.04546,0.16139,0.80403,1.05965,0.80064,0.8178,0.88836,0.66707,0.73514,0.63983,0.65219,0.28122,0.84727,3.16415,0.0358,0.75434,1.02394,0.0009704,0.0009704,0.0009704
28,1057.68,0.91399,3.96906,0.15752,0.80113,1.06112,0.79646,0.83051,0.88837,0.66276,0.7095,0.67958,0.66285,0.27998,0.8606,3.09078,0.03509,0.75995,1.02746,0.0009308,0.0009308,0.0009308
29,1101,0.90444,3.96157,0.15941,0.81187,1.06629,0.78248,0.83836,0.89131,0.66861,0.65653,0.70733,0.6731,0.29027,0.84365,3.11264,0.03526,0.74336,1.03449,0.0008912,0.0008912,0.0008912
30,1144.2,0.91681,3.96116,0.15149,0.78264,1.05239,0.79534,0.82332,0.88758,0.67121,0.75522,0.62315,0.6673,0.28092,0.82096,3.07306,0.02635,0.74608,1.02609,0.0008516,0.0008516,0.0008516
31,1186.36,0.86829,3.80875,0.15731,0.76684,1.04395,0.86258,0.76836,0.8901,0.67354,0.77018,0.64847,0.68123,0.29428,0.82722,3.04594,0.04123,0.72283,1.02495,0.000812,0.000812,0.000812
32,1229.13,0.86632,3.86552,0.15262,0.77869,1.03094,0.77181,0.83601,0.88273,0.66605,0.74166,0.64879,0.6688,0.2751,0.84698,3.09305,0.03474,0.76105,1.02996,0.0007724,0.0007724,0.0007724
33,1272.08,0.86889,3.86064,0.15815,0.77718,1.04045,0.83663,0.7839,0.88664,0.67543,0.77386,0.6596,0.68777,0.29869,0.83747,3.04618,0.0468,0.76843,1.01135,0.0007328,0.0007328,0.0007328
34,1315.98,0.8585,3.86532,0.14889,0.7613,1.03494,0.84911,0.79096,0.89739,0.68642,0.74429,0.68243,0.69772,0.31533,0.82487,2.97261,0.03567,0.73295,1.01865,0.0006932,0.0006932,0.0006932
35,1358.56,0.85444,3.8394,0.1579,0.74134,1.03759,0.83939,0.76977,0.88664,0.68214,0.73553,0.64689,0.68701,0.28991,0.80838,3.02603,0.04372,0.78943,1.01088,0.0006536,0.0006536,0.0006536
36,1400.52,0.84861,3.75798,0.14955,0.73953,1.03066,0.80879,0.80226,0.88969,0.69014,0.73906,0.68644,0.70766,0.31204,0.80962,2.95378,0.03005,0.73451,1.02111,0.000614,0.000614,0.000614
37,1442.55,0.863,3.74511,0.14349,0.76017,1.03895,0.8366,0.7952,0.89136,0.68257,0.75001,0.68648,0.70298,0.3049,0.81336,3.01068,0.03446,0.72264,1.01207,0.0005744,0.0005744,0.0005744
38,1484.55,0.84219,3.81535,0.15465,0.74653,1.02733,0.82961,0.82627,0.90125,0.69696,0.76305,0.69209,0.71668,0.32233,0.80047,2.89338,0.03341,0.70138,1.00519,0.0005348,0.0005348,0.0005348
39,1527.11,0.81395,3.63263,0.14706,0.69039,1.01597,0.85658,0.80508,0.90436,0.69985,0.79505,0.7068,0.73831,0.33408,0.78847,2.84914,0.03006,0.68723,1.00369,0.0004952,0.0004952,0.0004952
40,1569.97,0.81082,3.56589,0.14648,0.69868,1.0116,0.80803,0.83231,0.90202,0.69681,0.75826,0.7048,0.73622,0.33843,0.78609,2.81756,0.03971,0.69588,1.00483,0.0004556,0.0004556,0.0004556
