epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1309.58,0.96159,1.04563,0.00617,0.72121,0.59924,0.68156,0.51336,0.90105,0.96368,0.0084,0.000848969,0.000848969,0.000848969
43,1340.79,0.99004,1.06455,0.00608,0.72304,0.64031,0.70231,0.53835,0.90016,0.96368,0.00884,0.000834822,0.000834822,0.000834822
44,1371.93,0.99876,1.04224,0.00624,0.57983,0.64973,0.67149,0.51063,0.90632,0.99672,0.00901,0.000820675,0.000820675,0.000820675
45,1402.65,0.96038,1.00468,0.00607,0.77173,0.57066,0.69325,0.52578,0.87778,0.96449,0.00897,0.000806528,0.000806528,0.000806528
46,1433.24,0.97782,1.00571,0.00586,0.63224,0.67928,0.67513,0.51208,0.89873,1.00039,0.00852,0.00079238,0.00079238,0.00079238
47,1464.84,0.97993,1.04167,0.00629,0.71915,0.6076,0.66445,0.49502,0.87703,0.96478,0.00881,0.000778233,0.000778233,0.000778233
48,1495.59,0.96685,1.00928,0.00613,0.71265,0.58067,0.65721,0.5035,0.90618,0.98815,0.00866,0.000764086,0.000764086,0.000764086
49,1527.81,0.99126,1.01549,0.00616,0.58979,0.63118,0.63427,0.48901,0.8822,1.05213,0.00831,0.000749939,0.000749939,0.000749939
50,1558.53,0.94808,0.97879,0.00606,0.65952,0.5969,0.64349,0.48765,0.89246,0.99053,0.00861,0.000735792,0.000735792,0.000735792
51,1589.49,0.94792,0.98368,0.00593,0.64638,0.61368,0.67232,0.51576,0.88555,0.98124,0.00838,0.000721645,0.000721645,0.000721645
52,1620.51,0.97879,1.02384,0.00601,0.70989,0.60656,0.67786,0.51729,0.88345,1.00962,0.00882,0.000707498,0.000707498,0.000707498
53,1651.62,0.95998,0.97832,0.00594,0.6972,0.57618,0.6662,0.51036,0.88623,0.98451,0.0088,0.000693351,0.000693351,0.000693351
54,1682.26,0.94828,0.97302,0.00587,0.60279,0.60022,0.61152,0.46733,0.85779,0.96604,0.00844,0.000679204,0.000679204,0.000679204
55,1713.21,0.96213,0.96297,0.00575,0.52629,0.61154,0.61033,0.46356,0.88079,0.98303,0.00843,0.000665057,0.000665057,0.000665057
56,1744.13,0.93077,0.924,0.00542,0.61024,0.60559,0.61846,0.46305,0.89045,0.96379,0.00838,0.000650909,0.000650909,0.000650909
