epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.3631,1.20915,2.67418,1.18959,0.60845,0.40477,0.30111,0.19576,1.04649,1.72498,1.09483,0.000472641,0.000472641,0.000472641
2,51.0023,1.2643,1.89678,1.22284,0.66591,0.41899,0.36574,0.23623,1.10515,1.61801,1.13705,0.000939579,0.000939579,0.000939579
3,74.983,1.25856,1.78451,1.22101,0.70563,0.4452,0.57964,0.40342,1.13215,1.6631,1.18232,0.00139709,0.00139709,0.00139709
4,99.0053,1.2577,1.70142,1.22989,0.54148,0.50075,0.56141,0.381,1.05197,1.45624,1.1304,0.00138656,0.00138656,0.00138656
5,123.099,1.22177,1.60354,1.20928,0.58319,0.60425,0.58449,0.3899,1.0852,1.32595,1.13744,0.00137241,0.00137241,0.00137241
6,147.096,1.21407,1.55105,1.20464,0.51929,0.50115,0.49586,0.32436,1.07977,1.33159,1.14583,0.00135826,0.00135826,0.00135826
7,171.323,1.20924,1.50646,1.18648,0.47087,0.59479,0.5586,0.39137,1.02272,1.27741,1.11724,0.00134412,0.00134412,0.00134412
8,195.547,1.1569,1.44547,1.16479,0.53286,0.66894,0.58215,0.39277,1.00131,1.1877,1.11056,0.00132997,0.00132997,0.00132997
9,219.288,1.15991,1.4112,1.17587,0.61949,0.63555,0.65951,0.45354,1.0161,1.18714,1.10142,0.00131582,0.00131582,0.00131582
10,243.204,1.16106,1.38187,1.16106,0.75168,0.58201,0.67644,0.47353,0.9814,1.15823,1.08827,0.00130168,0.00130168,0.00130168
11,267.442,1.13185,1.35532,1.15616,0.63674,0.67596,0.64744,0.44557,0.99385,1.12339,1.09041,0.00128753,0.00128753,0.00128753
12,291.557,1.11264,1.33758,1.14201,0.73479,0.66863,0.69515,0.48814,0.99072,1.10479,1.09067,0.00127338,0.00127338,0.00127338
13,315.639,1.11323,1.31279,1.13735,0.6792,0.61428,0.66005,0.46761,0.96444,1.09508,1.07594,0.00125923,0.00125923,0.00125923
14,340.385,1.08688,1.2892,1.14143,0.62434,0.63811,0.65176,0.45257,0.9679,1.10039,1.05554,0.00124509,0.00124509,0.00124509
15,364.577,1.10441,1.24384,1.12555,0.71779,0.59973,0.68417,0.47914,0.9466,1.06714,1.06121,0.00123094,0.00123094,0.00123094
16,389.067,1.12238,1.29036,1.14914,0.63845,0.62795,0.6103,0.41015,1.01639,1.15598,1.10135,0.00121679,0.00121679,0.00121679
17,413.218,1.08979,1.25264,1.13146,0.59427,0.65114,0.59432,0.41973,0.96871,1.07317,1.07321,0.00120265,0.00120265,0.00120265
18,437.444,1.06375,1.21068,1.11635,0.71579,0.57172,0.66653,0.47298,0.95793,1.10083,1.07372,0.0011885,0.0011885,0.0011885
19,461.78,1.07368,1.20972,1.11506,0.68361,0.60296,0.6411,0.43974,0.93939,1.04961,1.05882,0.00117435,0.00117435,0.00117435
20,485.833,1.06789,1.19614,1.12119,0.62199,0.67565,0.6966,0.48997,0.93911,1.01611,1.06401,0.00116021,0.00116021,0.00116021
