epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2033.64,0.97182,0.99945,0.00605,0.72902,0.64125,0.71153,0.52652,0.90087,0.99104,0.00887,0.000848969,0.000848969,0.000848969
43,2079.94,1.00158,1.04202,0.00589,0.76493,0.63919,0.70684,0.52722,0.90625,0.93832,0.00873,0.000834822,0.000834822,0.000834822
44,2132.16,0.97167,1.01892,0.00584,0.62722,0.58961,0.61792,0.45002,0.88998,0.97662,0.00845,0.000820675,0.000820675,0.000820675
45,2187.06,0.97024,1.01663,0.00581,0.56035,0.68919,0.65983,0.49436,0.88885,0.95875,0.00846,0.000806528,0.000806528,0.000806528
46,2242.45,0.95261,0.97886,0.00583,0.66887,0.64218,0.6976,0.50519,0.92282,0.95683,0.00873,0.00079238,0.00079238,0.00079238
47,2297.99,0.95985,0.97342,0.00573,0.64925,0.63504,0.65964,0.48821,0.89236,0.947,0.00858,0.000778233,0.000778233,0.000778233
48,2353.19,0.94747,0.95496,0.00587,0.64846,0.68865,0.66181,0.49424,0.89125,0.95394,0.00862,0.000764086,0.000764086,0.000764086
49,2408.4,0.96284,0.95756,0.0056,0.67043,0.6367,0.66862,0.49093,0.90594,0.97157,0.00893,0.000749939,0.000749939,0.000749939
50,2463.48,0.95269,0.94616,0.00571,0.70347,0.58956,0.67525,0.50358,0.91057,0.96089,0.00873,0.000735792,0.000735792,0.000735792
51,2518.75,0.95755,0.96276,0.00586,0.75843,0.65595,0.70195,0.52537,0.8736,0.94643,0.00841,0.000721645,0.000721645,0.000721645
52,2574.38,0.94745,0.94712,0.00566,0.75564,0.6502,0.72641,0.54702,0.89547,0.9891,0.00845,0.000707498,0.000707498,0.000707498
53,2630.09,0.95683,0.96292,0.00566,0.69292,0.68989,0.71875,0.54724,0.86128,0.92546,0.00833,0.000693351,0.000693351,0.000693351
54,2685.2,0.94396,0.9412,0.00531,0.60856,0.66244,0.69132,0.52629,0.89058,0.97343,0.00843,0.000679204,0.000679204,0.000679204
55,2740.29,0.93344,0.90314,0.00534,0.55248,0.62305,0.62766,0.47048,0.87691,0.93612,0.00831,0.000665057,0.000665057,0.000665057
56,2795.11,0.93563,0.88118,0.00502,0.7535,0.65819,0.70444,0.52262,0.91877,0.95523,0.00861,0.000650909,0.000650909,0.000650909
57,2850.29,0.96113,0.91374,0.00525,0.76533,0.66623,0.72173,0.54303,0.88241,0.91442,0.00814,0.000636762,0.000636762,0.000636762
58,2905.29,0.90568,0.87718,0.00525,0.75051,0.63476,0.70736,0.54023,0.90009,0.94706,0.00818,0.000622615,0.000622615,0.000622615
59,2960.33,0.92824,0.8764,0.00516,0.66233,0.64858,0.71179,0.5364,0.86199,0.88666,0.00779,0.000608468,0.000608468,0.000608468
60,3016.05,0.93218,0.90312,0.00528,0.6443,0.69046,0.6879,0.52114,0.88017,0.91175,0.00805,0.000594321,0.000594321,0.000594321
61,3065.14,0.92593,0.8832,0.00561,0.56448,0.66358,0.6643,0.50701,0.8573,0.93731,0.00789,0.000580174,0.000580174,0.000580174
62,3112.06,0.90442,0.88776,0.00519,0.7058,0.60864,0.67786,0.52412,0.85939,0.93412,0.00793,0.000566027,0.000566027,0.000566027
63,3156.96,0.9162,0.88123,0.00516,0.70649,0.65125,0.68375,0.52004,0.87319,0.96398,0.0079,0.00055188,0.00055188,0.00055188
64,3202.52,0.90046,0.85882,0.0051,0.75998,0.61915,0.69645,0.52516,0.8492,0.9736,0.00792,0.000537733,0.000537733,0.000537733
65,3248.06,0.93198,0.86141,0.00537,0.64461,0.65408,0.69685,0.52239,0.88556,0.93832,0.0083,0.000523586,0.000523586,0.000523586
66,3294.02,0.9092,0.859,0.00529,0.70177,0.67835,0.71376,0.5368,0.87938,0.91343,0.00828,0.000509438,0.000509438,0.000509438
67,3339.99,0.91442,0.87652,0.00529,0.7604,0.61919,0.6996,0.53087,0.86334,0.93175,0.0081,0.000495291,0.000495291,0.000495291
68,3385.21,0.88061,0.82729,0.00491,0.65979,0.65088,0.69984,0.53764,0.84791,0.95109,0.00779,0.000481144,0.000481144,0.000481144
69,3431.18,0.906,0.84043,0.00494,0.74947,0.6077,0.69311,0.52935,0.87001,0.91629,0.00797,0.000466997,0.000466997,0.000466997
70,3477.23,0.92185,0.89475,0.00547,0.56906,0.66419,0.66948,0.51161,0.8622,0.95495,0.00789,0.00045285,0.00045285,0.00045285
71,3524.75,0.89091,0.83324,0.00529,0.60575,0.70448,0.68171,0.51404,0.87066,0.92975,0.00773,0.000438703,0.000438703,0.000438703
72,3570.32,0.91126,0.85664,0.00523,0.63843,0.66281,0.6785,0.51459,0.84813,0.92689,0.00768,0.000424556,0.000424556,0.000424556
73,3614.96,0.89829,0.82835,0.0049,0.54927,0.75125,0.6675,0.50805,0.85056,0.94227,0.00777,0.000410409,0.000410409,0.000410409
74,3660.2,0.86858,0.81273,0.00506,0.65484,0.6216,0.65413,0.49209,0.84559,0.96339,0.00772,0.000396262,0.000396262,0.000396262
75,3705.73,0.87061,0.80391,0.00495,0.59704,0.61965,0.6583,0.50632,0.85344,0.95704,0.00754,0.000382115,0.000382115,0.000382115
76,3751.13,0.90193,0.83188,0.00509,0.58993,0.67019,0.65532,0.50735,0.85688,0.93701,0.008,0.000367967,0.000367967,0.000367967
77,3795.81,0.89405,0.83154,0.00508,0.56815,0.66898,0.63171,0.48777,0.84169,0.96243,0.0076,0.00035382,0.00035382,0.00035382
78,3848.44,0.85129,0.7753,0.00488,0.70674,0.65232,0.67664,0.5181,0.84496,0.93899,0.00754,0.000339673,0.000339673,0.000339673
79,3902.35,0.84468,0.78367,0.00489,0.75006,0.62332,0.6678,0.51556,0.83445,1.00685,0.00735,0.000325526,0.000325526,0.000325526
80,3956.75,0.8578,0.78231,0.00503,0.65672,0.61997,0.6602,0.51245,0.83927,0.96443,0.00746,0.000311379,0.000311379,0.000311379
81,4010.63,0.87607,0.79201,0.00499,0.61948,0.63372,0.66187,0.50672,0.84503,0.94947,0.0078,0.000297232,0.000297232,0.000297232
82,4064.23,0.85164,0.77886,0.00478,0.69052,0.65097,0.68672,0.52661,0.84171,0.92542,0.00765,0.000283085,0.000283085,0.000283085
83,4118.39,0.85896,0.78286,0.00477,0.57764,0.68161,0.67155,0.51513,0.83019,0.93647,0.00764,0.000268938,0.000268938,0.000268938
